Starting Clock Simulation...
Time = 00:03:13
Time = 00:03:14
Time = 00:03:15
Time = 00:03:16
Time = 00:03:17
Time = 00:03:18
Time = 00:03:19
Time = 00:03:20
Time = 00:03:21
Time = 00:03:22
Time = 00:03:23
Time = 00:03:24
Time = 00:03:25
Time = 00:03:26
Time = 00:03:27
Time = 00:03:28
Time = 00:03:29
Time = 00:03:30
Time = 00:03:31
Time = 00:03:32
Time = 00:03:33
Time = 00:03:34
Time = 00:03:35
Time = 00:03:36
Time = 00:03:37
Time = 00:03:38
Time = 00:03:39
Time = 00:03:40
Time = 00:03:41
Time = 00:03:42
Time = 00:03:43
Time = 00:03:44
Time = 00:03:45
Time = 00:03:46
Time = 00:03:47
Time = 00:03:48
Time = 00:03:49
Time = 00:03:50
Time = 00:03:51
Time = 00:03:52
Time = 00:03:53
Time = 00:03:54
Time = 00:03:55
Time = 00:03:56
Time = 00:03:57
Time = 00:03:58
Time = 00:03:59
Time = 00:04:00
Time = 00:04:01
Time = 00:04:02
Time = 00:04:03
Time = 00:04:04
Time = 00:04:05
Time = 00:04:06
Time = 00:04:07
Time = 00:04:08
Time = 00:04:09
Time = 00:04:10
Time = 00:04:11
Time = 00:04:12
Time = 00:04:13
Time = 00:04:14
Time = 00:04:15
Time = 00:04:16
Time = 00:04:17
Time = 00:04:18
Time = 00:04:19
Time = 00:04:20
Time = 00:04:21
Time = 00:04:22
Time = 00:04:23
Time = 00:04:24
Time = 00:04:25
Time = 00:04:26
Time = 00:04:27
Time = 00:04:28
Time = 00:04:29
Time = 00:04:30
Time = 00:04:31
Time = 00:04:32
Time = 00:04:33
Time = 00:04:34
Time = 00:04:35
Time = 00:04:36
Time = 00:04:37
Time = 00:04:38
Time = 00:04:39
Time = 00:04:40
Time = 00:04:41
Time = 00:04:42
Time = 00:04:43
Time = 00:04:44
Time = 00:04:45
Time = 00:04:46
Time = 00:04:47
Time = 00:04:48
Time = 00:04:49
Time = 00:04:50
Time = 00:04:51
Time = 00:04:52
Time = 00:04:53
Time = 00:04:54
Time = 00:04:55
Time = 00:04:56
Time = 00:04:57
Time = 00:04:58
Time = 00:04:59
Time = 00:05:00
Time = 00:05:01
Time = 00:05:02
Time = 00:05:03
Time = 00:05:04
Time = 00:05:05
Time = 00:05:06
Time = 00:05:07
Time = 00:05:08
Time = 00:05:09
Time = 00:05:10
Time = 00:05:11
Time = 00:05:12
Time = 00:05:13
Time = 00:05:14
Time = 00:05:15
Time = 00:05:16
Time = 00:05:17
Time = 00:05:18
Time = 00:05:19
Time = 00:05:20
Time = 00:05:21
Time = 00:05:22
Time = 00:05:23
Time = 00:05:24
Time = 00:05:25
Time = 00:05:26
Time = 00:05:27
Time = 00:05:28
Time = 00:05:29
Time = 00:05:30
Time = 00:05:31
Time = 00:05:32
Time = 00:05:33
Time = 00:05:34
Time = 00:05:35
Time = 00:05:36
Time = 00:05:37
Time = 00:05:38
Time = 00:05:39
Time = 00:05:40
Time = 00:05:41
Time = 00:05:42
Time = 00:05:43
Time = 00:05:44
Time = 00:05:45
Time = 00:05:46
Time = 00:05:47
Time = 00:05:48
Time = 00:05:49
Time = 00:05:50
Time = 00:05:51
Time = 00:05:52
Time = 00:05:53
Time = 00:05:54
Time = 00:05:55
Time = 00:05:56
Time = 00:05:57
Time = 00:05:58
Time = 00:05:59
Time = 00:06:00
Time = 00:06:01
Time = 00:06:02
Time = 00:06:03
Time = 00:06:04
Time = 00:06:05
Time = 00:06:06
Time = 00:06:07
Time = 00:06:08
Time = 00:06:09
Time = 00:06:10
Time = 00:06:11
Time = 00:06:12
Time = 00:06:13
Time = 00:06:14
Time = 00:06:15
Time = 00:06:16
Time = 00:06:17
Time = 00:06:18
Time = 00:06:19
Time = 00:06:20
Time = 00:06:21
Time = 00:06:22
Time = 00:06:23
Time = 00:06:24
Time = 00:06:25
Time = 00:06:26
Time = 00:06:27
Time = 00:06:28
Time = 00:06:29
Time = 00:06:30
Time = 00:06:31
Time = 00:06:32
Time = 00:06:33
Time = 00:06:34
Time = 00:06:35
Time = 00:06:36
Time = 00:06:37
Time = 00:06:38
Time = 00:06:39
Time = 00:06:40
Time = 00:06:41
Time = 00:06:42
Time = 00:06:43
Time = 00:06:44
Time = 00:06:45
Time = 00:06:46
Time = 00:06:47
Time = 00:06:48
Time = 00:06:49
Time = 00:06:50
Time = 00:06:51
Time = 00:06:52
Time = 00:06:53
Time = 00:06:54
Time = 00:06:55
Time = 00:06:56
Time = 00:06:57
Time = 00:06:58
Time = 00:06:59
Time = 00:07:00
Time = 00:07:01
Time = 00:07:02
Time = 00:07:03
Time = 00:07:04
Time = 00:07:05
Time = 00:07:06
Time = 00:07:07
Time = 00:07:08
Time = 00:07:09
Time = 00:07:10
Time = 00:07:11
Time = 00:07:12
Time = 00:07:13
Time = 00:07:14
Time = 00:07:15
Time = 00:07:16
Time = 00:07:17
Time = 00:07:18
Time = 00:07:19
Time = 00:07:20
Time = 00:07:21
Time = 00:07:22
Time = 00:07:23
Time = 00:07:24
Time = 00:07:25
Time = 00:07:26
Time = 00:07:27
Time = 00:07:28
Time = 00:07:29
Time = 00:07:30
Time = 00:07:31
Time = 00:07:32
Time = 00:07:33
Time = 00:07:34
Time = 00:07:35
Time = 00:07:36
Time = 00:07:37
Time = 00:07:38
Time = 00:07:39
Time = 00:07:40
Time = 00:07:41
Time = 00:07:42
Time = 00:07:43
Time = 00:07:44
Time = 00:07:45
Time = 00:07:46
Time = 00:07:47
Time = 00:07:48
Time = 00:07:49
Time = 00:07:50
Time = 00:07:51
Time = 00:07:52
Time = 00:07:53
Time = 00:07:54
Time = 00:07:55
Time = 00:07:56
Time = 00:07:57
Time = 00:07:58
Time = 00:07:59
Time = 00:08:00
Time = 00:08:01
Time = 00:08:02
Time = 00:08:03
Time = 00:08:04
Time = 00:08:05
Time = 00:08:06
Time = 00:08:07
Time = 00:08:08
Time = 00:08:09
Time = 00:08:10
Time = 00:08:11
Time = 00:08:12
Time = 00:08:13
Time = 00:08:14
Time = 00:08:15
Time = 00:08:16
Time = 00:08:17
Time = 00:08:18
Time = 00:08:19
Time = 00:08:20
Time = 00:08:21
Time = 00:08:22
Time = 00:08:23
Time = 00:08:24
Time = 00:08:25
Time = 00:08:26
Time = 00:08:27
Time = 00:08:28
Time = 00:08:29
Time = 00:08:30
Time = 00:08:31
Time = 00:08:32
Time = 00:08:33
Time = 00:08:34
Time = 00:08:35
Time = 00:08:36
Time = 00:08:37
Time = 00:08:38
Time = 00:08:39
Time = 00:08:40
Time = 00:08:41
Time = 00:08:42
Time = 00:08:43
Time = 00:08:44
Time = 00:08:45
Time = 00:08:46
Time = 00:08:47
Time = 00:08:48
Time = 00:08:49
Time = 00:08:50
Time = 00:08:51
Time = 00:08:52
Time = 00:08:53
Time = 00:08:54
Time = 00:08:55
Time = 00:08:56
Time = 00:08:57
Time = 00:08:58
Time = 00:08:59
Time = 00:09:00
Time = 00:09:01
Time = 00:09:02
Time = 00:09:03
Time = 00:09:04
Time = 00:09:05
Time = 00:09:06
Time = 00:09:07
Time = 00:09:08
Time = 00:09:09
Time = 00:09:10
Time = 00:09:11
Time = 00:09:12
Time = 00:09:13
Time = 00:09:14
Time = 00:09:15
Time = 00:09:16
Time = 00:09:17
Time = 00:09:18
Time = 00:09:19
Time = 00:09:20
Time = 00:09:21
Time = 00:09:22
Time = 00:09:23
Time = 00:09:24
Time = 00:09:25
Time = 00:09:26
Time = 00:09:27
Time = 00:09:28
Time = 00:09:29
Time = 00:09:30
Time = 00:09:31
Time = 00:09:32
Time = 00:09:33
Time = 00:09:34
Time = 00:09:35
Time = 00:09:36
Time = 00:09:37
Time = 00:09:38
Time = 00:09:39
Time = 00:09:40
Time = 00:09:41
Time = 00:09:42
Time = 00:09:43
Time = 00:09:44
Time = 00:09:45
Time = 00:09:46
Time = 00:09:47
Time = 00:09:48
Time = 00:09:49
Time = 00:09:50
Time = 00:09:51
Time = 00:09:52
Time = 00:09:53
Time = 00:09:54
Time = 00:09:55
Time = 00:09:56
Time = 00:09:57
Time = 00:09:58
Time = 00:09:59
Time = 00:10:00
Time = 00:10:01
Time = 00:10:02
Time = 00:10:03
Time = 00:10:04
Time = 00:10:05
Time = 00:10:06
Time = 00:10:07
Time = 00:10:08
Time = 00:10:09
Time = 00:10:10
Time = 00:10:11
Time = 00:10:12
Time = 00:10:13
Time = 00:10:14
Time = 00:10:15
Time = 00:10:16
Time = 00:10:17
Time = 00:10:18
Time = 00:10:19
Time = 00:10:20
Time = 00:10:21
Time = 00:10:22
Time = 00:10:23
Time = 00:10:24
Time = 00:10:25
Time = 00:10:26
Time = 00:10:27
Time = 00:10:28
Time = 00:10:29
Time = 00:10:30
Time = 00:10:31
Time = 00:10:32
Time = 00:10:33
Time = 00:10:34
Time = 00:10:35
Time = 00:10:36
Time = 00:10:37
Time = 00:10:38
Time = 00:10:39
Time = 00:10:40
Time = 00:10:41
Time = 00:10:42
Time = 00:10:43
Time = 00:10:44
Time = 00:10:45
Time = 00:10:46
Time = 00:10:47
Time = 00:10:48
Time = 00:10:49
Time = 00:10:50
Time = 00:10:51
Time = 00:10:52
Time = 00:10:53
Time = 00:10:54
Time = 00:10:55
Time = 00:10:56
Time = 00:10:57
Time = 00:10:58
Time = 00:10:59
Time = 00:11:00
Time = 00:11:01
Time = 00:11:02
Time = 00:11:03
Time = 00:11:04
Time = 00:11:05
Time = 00:11:06
Time = 00:11:07
Time = 00:11:08
Time = 00:11:09
Time = 00:11:10
Time = 00:11:11
Time = 00:11:12
Time = 00:11:13
Time = 00:11:14
Time = 00:11:15
Time = 00:11:16
Time = 00:11:17
Time = 00:11:18
Time = 00:11:19
Time = 00:11:20
Time = 00:11:21
Time = 00:11:22
Time = 00:11:23
Time = 00:11:24
Time = 00:11:25
Time = 00:11:26
Time = 00:11:27
Time = 00:11:28
Time = 00:11:29
Time = 00:11:30
Time = 00:11:31
Time = 00:11:32
Time = 00:11:33
Time = 00:11:34
Time = 00:11:35
Time = 00:11:36
Time = 00:11:37
Time = 00:11:38
Time = 00:11:39
Time = 00:11:40
